"Shop nói qt khi giao hàng bản lock 
Trên thì nói mới 95%  khi nhận thì trầy xước lung tung   máy thì bẩn như lấy đại đâu ra giao 

Treo đầu dê bán thịt cho","1"
"Không dùng dc đâu mọi người ah  Chỉ là đặt hàng online thôi mà out hoài lun   Nói chung biết là tiền nào của đấy nhưng kg nghĩ lại tệ đến vậy ah  Này mà chơi game cái nỗi j cho nổi","1"
"Thái độ nói chuyện như cc  )) tặng cục sạc nhưng sạc k đc     )) ib thì k rep    )","1"
"Máy k lên nguồn","1"
"Máy như l*n đm giao cho ta cái máy hư ko nhận sim hư nút home chai 33% pin khốn nạn","1"
"Đt mới sài dc 4 ngày mà thành ra như vậy rồi mong shop giải thích dùm","1"
"Mạng chậm quá ae ạ  Shop Làm ăn thế này chán lắm  Mua sao Chăng      AE trước khi mua hãy xem xét","1"
"Đặt 6 hư 4   chính sách đổi trả thế nào shop","1"
"Sạc k vào kb do máy hay sạc😥","1"
"Lỗ sạc pin đt bị hư  Sạc không dô pin  Nt shop ko tl","1"
"Sản phẩm quá xấu  M n k nên mua  
Còn k dc kiểm hàng trước khi nhận
Nếu mà dc kiểm hàng tôi sẽ k mua sp này","1"
"Máy lỗi  Làm ăn vô trách nhiệm","1"
"Máy nhận sim cực chậm  liên hệ shop bảo mỗi lần thay sim phải tắt nguồn đi khởi động lại bó tay thế thì mua máy kích sim làm gì  có mấy trăm nghìn k muốn đổi đi đổi lại làm gì  pin đc 1 ngày","1"
"Lỗi màn hình  phím 0 bấm lúc được lúc k
Tôi làm bên mạng nên sử dụng loại máy này rất nhiều  thấy làm khây nhét sim trực tiếp tiện nên mua  nhưng chất lượng tệ quá","1"
"Làm ăn chả ra gì  nhắn tin đến mòn cái inbox cũng chả rep để hoàn hàng  Thái độ chả bằng ai","1"
"Máy mua về chưa sài chỉ sạc 2l xem máy ổn không thì mở hết lên  mới đầu shop còn tl bảo đổi pin xem ntn  khi biết do máy hư thì pm hoài shop im ru bà rù  dù biết là chỉ 200k thì chuẩn bị tinh thần rồi  nhưng không thích thái độ của shop  nói 1 đằng làm 1 nẻo thì ôi thôi rồi   không bao giờ quay lại","1"
"San phẩm cũ  Màn hình thi bị lột keo   Vỏ ốp thi Ko khớp  bàn phím thi nhìn cũ phai màu  Ghi chú đạt 1  Cái màu vàng 1 cái màu cam   Giao 2 cái màu cam luon  Haizzz   Hàng Ko chat lượng","1"
"máy để tự hết pin chán lắm sạc thì lâu vào","1"
"Không hiểu sao mới được mấy hôm tự dưng tắt bật nguồn liên tục giờ thì không lên nữa luôn chất lượng kém","1"
"L","1"
"Đổi trả k đc  vì máy lỗi k rõ ràng trong thời gian kiến nghị  giờ máy chết Hẳn   Dùng k được","1"
"Máy tàu mọi người ạ không hiện logo bắt tay và không có chuông của nokia","1"
"Khuyên mọi người ko nên mua  hàng cũ mất mật khẩu  ko nhập được mật khẩu để khôi phục cài đặt gốc  phần nghe nhạc thì cho thẻ nhớ vào ko load được nhạc ko nghe được  sóng kém  ko đáng tiền  hôm qua sạc pin cho máy này mình để qua đêm  nửa đêm nổ luôn cục sạc bùm cái hết hồn bực mình thật rước cục nợ","1"
"Giới thiệu thì ghi đầy đủ pin và sạc nhưng giao chỉ kèm sạc ko có pin  Nắp rất cứng  phải lấy đồ cậy mãi mới ra  Nhắn tin shop k rep  Mọi người cân nhắc trước khi mua nhé","1"
"Máy ko nhận sim  ko dùng được  Biết là tiền nào của nấy nhưng bỏ tiền ra mua cái ko dùng được  nghĩ nó chán","1"
"Chât lượng sản phẩm kém  Chưa dùng mà loa k nghe được  liên hệ bảo hành thì k hồi âm  Mọi người né cái shop này ra để k rước bực vào người  Có 0 sao cũng đánh giá luôn chứ 1 sao gì  Bực quá 😡😡🤬🤬  Dịch vụ quá kém  Vận chuyển tạm","1"
"SHOP LÀM ĂN CHÁN THẬT SỰ  Lần đầu thiếu pin  Gửi bù thì sạc và pin hỏng  Ko dùng được  Gọi bảo đổi máy  ok sau ko đổi cũng ko phản hồi lại  Gọi ko nghe  nt ko trả lời  Mọi người mua hàng thì nên check hàng kỹ  Tránh mất tiền như mình","1"
"Mình khuyên thật mọn người không nên  Mình mua máy bị hỏng màn","1"
"Như cặc dùng đk 1 tuần chết nguồn","1"
"Sản phẩm giao bị sọc màn hình","1"
"Mua 2 cái  Xài được vài bữa thì màn hình trắng bóc  Liên lạc shop thì nt k chịu trả lời","1"
"Xài được vài bữa hư     Sản phẩm quá tệ","1"
"Đt còn mới   Như mình đặt màu đen mà lại dao màu trắng   Đt ko tạo đc tài khoãn icould    Nên ko tãi đc gì    Chỉ đễ Nghe và gọi thôi ko làm đc gì   Nt hõi shop thì shop ko thèm trã lời gì hết   Tức","1"
"đt mang đơ 
tự động tắt màn hình
ko tải đc youtube","1"
"Shop lừa cho mượn icloud để tải ứng dụng đăng nhập xong rồi shop khóa luôn cả máy liên hệ shop không được  Mua cho bà cái điện thoại mà thật là thương người già lớn tuổi rồi mua được cái điện thoại cũng bị khóa mất","1"
"mới mua về bỏ sim vào để thôi chưa dùng vì nghe gọi thôi mà thằng bán điện thoại mới đc 1 ngày nó tự tắt nguồn bật k lên   lắp ráp thì cho họ dùng đáng 300k 1 tháng cũng đc  mới 1 ngày  khuyến cáo ae k nên mua nhé 300k dùng 1 tháng cũng đc chứ dùng 1 ngày k đáng ae","1"
"Máy rất cũ  màn hình có đốm trắng bên trong rất nhiều  Thiếu dây sạc đi kèm như quảng cáo","1"
"Mạng chập chờn","1"
"Chất lượng quá tồi dùng dc 1 ngày hỏng","1"
"shipper không tôn trọng khách hàng","1"
"Điện thoại vừa được giao khi mở máy thì chỉ có 13% nên mình sạc Máy lên được 100% thì khi vừa rút ra lại liền tuột xuống còn 86% xong cúp nguồn luôn  Rồi mình sạc lại thì nó cứ tự động khởi động lại rồi tự cúp nguồn khi rút sạc ra thì máy cúp luôn không bật được như video  Shop làm ăn rất mất uy tí","1"
"Điện thoại mua full mới mà về là điện thoại cũ  sạc đầy pin dùng nghe nhạc 2h hết pin  thất vọng","1"
"mua full box mà máy trầy xước nhiều đặc biệt là dùng k đc  ip không thể kết nối với máy chủ không thể đăng nhập icloud máy không nhận đc sim  phải ra thợ sửa tốn mấy trăm ngàn nữa mới dùng đc khuyên thật lòng ae k nên mua","1"
"Máy như hình   98 99%  Mà pin 90% là sập nguồn bật lên vẫn 90 rồi lại sập  Phải cắm sạc mới dùng dc","1"
"sản phẩm kém lag kinh khủng       shop lừa đảo","1"
"dt quá tệ  hư nút nguồn  pin kém  hết sạch pin cắm xạc nhảy lên 23% xong tụt 10% liền tức khắc  máy chạy chậm  toàn bị đá ra  tải shopee vào ko dc vì bị thoát liên tục  mua về giờ vứt xó  nói chung thất vọng","1"
"K nghe dc cuộc gọi","1"
"Shop làm ăn chán quá  nhờ chọn giúp cái mới chút lại gửi cho cái cũ nát  màn hình bị loang lổ","1"
"Máy ko thể bật nguồn lên được nhiều vết xước nói chung là tệ","1"
"Đã nhận được hàng nhưng chưa bật lên được  Để sạc pin xem như thế nào   Không bật lên được thì làm sao hả shop","1"
"4 sim mà lắp chập chờn lúc đc 1  lúc đc 3 chưa khi nào đ c 4  ko ổn định nên rất chán  Chân thành khuyên ko nên mua","1"
"Hàng k dùng đc   Tất cả đều lỗi fb zalo mess cũng vậy   😣😣😣😣😣 yêu cầu đổi trả hàng thì shop khiếu nại k cho trả   Thật thất vọng với thái độ làm ăn vậy  )","1"
"Hàng nhận dc thì rất bẩn trầy sước nhiều   mở máy lên thì hơi đơ  nhìn bề ngoài là k thấy ưa mắt rồi’ chân cắm sạc cũng bẩn quá","1"
"Loại này dính icloud cũ  k có mật khẩu  k đăng ký mới dc  k đăng nhập dc  Hỏi shop shop nói lên you tube kiếm  Thế thôi","1"
"Shop giải quyết giúp e với ạ","1"
"Máy mạng yếu vl kh lên đc fb Messenger kh xem đc youtube  Cáp sạc thì muốn đứt ra  Nhắn tin cho shop thì kh giải quyết  bảo là lên fb hay xem youtube bằng trình duyệt ủa rồi có app fb Messenger ytb chi mà kh sài đc   thất vọng","1"
"Dùng gần 2 tuần thì mất nguồn  sạc lên logo xong lại tắc  mở nguồn ko lên","1"
"Điện thoại ko khác gì cục gạch mua về không xài được ứng dụng gì","1"
"Điện thoại ko tại đc ứng dụng vi mất khẩu iclou xin chủ shop ko cho đt có như k","1"
